id,composition,log_conductivity,li_fraction,li_count,mean_electronegativity,anion_electronegativity,cation_anion_en_diff,en_std,mean_ionic_radius,anion_ionic_radius,radius_std,mean_atomic_mass,n_elements,mean_atomic_number,anion_halide,anion_mixed,anion_other,anion_oxide,anion_sulfide
jqc,Li7BiO6,-5.800000874803203,0.5,7.0,2.1085714285714285,3.44,2.33,1.1820010704784683,1.0735714285714286,1.26,0.1749941689990654,25.254557142857145,3,10.857142857142858,False,False,False,True,False
oi6,Li7SbO6,-7.173925197299173,0.5,7.0,2.1107142857142858,3.44,2.32625,1.1818657422283894,1.0542857142857145,1.26,0.17815379734994166,19.02452857142857,3,8.571428571428571,False,False,False,True,False
2t8,LiV(PO4)F,-6.091514981121351,0.125,1.0,2.8175,3.98,2.38,1.005096388412574,1.04875,1.26,0.26839511452334597,21.481533149999997,5,10.25,False,True,False,False,False
47i,Li4P2O7,-10.0,0.3076923076923077,4.0,2.4907692307692306,3.44,2.0566666666666666,1.0960731414285025,1.0446153846153847,1.26,0.2542141854244289,15.515948,3,7.538461538461538,False,False,False,True,False
clt,Li6CuB4O10,-13.0,0.2857142857142857,6.0,2.397142857142857,3.44,1.990909090909091,1.0619530204708092,0.9766666666666666,1.26,0.3187674676197344,14.687142857142858,4,7.0,False,False,False,True,False
ix1,Li0.91Hf2.022(PO4)3,-6.494850021680094,0.05074726745482935,0.91,2.864733437430292,3.44,1.7389885367498314,0.7690217576036584,1.0817365603390585,1.26,0.2703208397467426,36.36723042605397,4,16.133950479589558,False,False,False,True,False
bq9,Li3BiO3,-9.619788758288394,0.42857142857142855,3.0,2.182857142857143,3.44,2.2,1.1406979603447591,1.092857142857143,1.26,0.1695973623206518,39.685942857142855,3,16.571428571428573,False,False,False,True,False
skm,Li5BiO5,-8.4089353929735,0.45454545454545453,5.0,2.1927272727272724,3.44,2.2866666666666666,1.1740302838675059,1.0881818181818181,1.26,0.17356257356397073,29.42567272727273,3,12.545454545454545,False,False,False,True,False
pwr,Li7.22Si1.5P0.5O8,-6.785156151952302,0.41927990708478513,7.22,2.238130081300813,3.44,2.2447071583514098,1.1920753961054644,1.026596980255517,1.26,0.21930287275820168,13.688986701509872,4,6.6295005807200935,False,False,False,True,False
b4c,Li4SiS4,-7.798602875679548,0.4444444444444444,4.0,1.7933333333333334,2.58,1.416,0.7551894537870025,1.2155555555555557,1.7,0.4463957166040789,20.456611111111112,3,10.0,False,False,False,False,True
y2l,Li5AlS4,-8.853871964321762,0.5,5.0,1.6830000000000003,2.58,1.4949999999999999,0.7546396491041271,1.1975,1.7,0.4153989046687533,18.99465386,3,9.2,False,False,False,False,True
pe2,Li17Sb13S28,-8.978810700930062,0.29310344827586204,17.0,1.992241379310345,2.58,1.1363333333333334,0.6839919416329312,1.286206896551724,1.7,0.3997621171362603,44.805120689655176,3,20.03448275862069,False,False,False,False,True
opo,Li0.6[Li0.2Sn0.8S2],-3.9208187539523753,0.22222222222222224,0.8,2.086666666666667,2.58,1.1099999999999999,0.0,1.3288888888888888,1.7,0.0,45.736333333333334,3,20.666666666666668,False,False,False,False,True
lkm,Li6Ge2O7,-6.070581074285707,0.4,6.0,2.265333333333333,3.44,2.2025,1.1460591413864973,1.064,1.26,0.18358649187780673,19.928119999999996,3,9.2,False,False,False,True,False
bv2,LiYO2,-7.744727494896693,0.25,1.0,2.27,3.44,2.34,1.1730728877610292,1.115,1.26,0.1532155344604456,31.9614125,3,14.5,False,False,False,True,False
be9,LiGaBr4,-5.154901959985743,0.16666666666666666,1.0,2.438333333333333,2.96,1.565,0.7756807046430608,1.4900000000000002,1.82,0.46843711780060016,66.04666666666667,3,29.0,True,False,False,False,False
n27,LiBO2,-8.0,0.25,1.0,2.475,3.44,1.93,1.0352173684787171,0.9575,1.26,0.3485953958387862,12.4377,3,6.0,False,False,False,True,False
goi,LiClC3H7NO,-3.795880017344075,0.07142857142857142,1.0,2.4050000000000002,3.44,1.2554545454545454,0.5626690222248143,0.932142857142857,1.67,0.38120445529229313,8.249127142857143,6,4.285714285714286,False,True,False,False,False
lrh,Li2.5V2(PO4)3,-6.721246399047171,0.1282051282051282,2.5,2.7466666666666666,3.44,1.8026666666666664,0.9000938701431379,1.0497435897435896,1.26,0.2819520400858757,20.725619794871793,4,9.974358974358974,False,False,False,True,False
1xt,LiSbO2,-10.0,0.25,1.0,2.4775,3.44,1.925,1.0341753961490285,1.08,1.26,0.18,40.174949999999995,3,17.5,False,False,False,True,False
kbo,Li2Sr2Al(PO4)3,-10.0,0.1,2.0,2.666,3.44,1.935,1.0138609372098324,1.0987500000000001,1.26,0.2716425730624712,25.050881229999998,5,11.8,False,False,False,True,False
5zv,Li4Zn(PO4)2,-17.255707016877324,0.26666666666666666,4.0,2.4979999999999998,3.44,2.0185714285714287,1.0716044046195405,1.048,1.26,0.2467711490429949,18.8743816,4,9.066666666666666,False,False,False,True,False
5bz,Li3BN2,-7.060480747381382,0.5,3.0,1.8433333333333335,3.04,1.795,0.9254488400530607,0.9583333333333334,1.32,0.308891386880387,9.941233333333335,3,4.666666666666667,False,False,True,False,False
883,LiAlH4,-8.060480747381382,0.16666666666666666,1.0,1.8983333333333334,2.2,0.9050000000000002,0.4637677819292276,0.9291666666666667,1.0,0.11938790651578667,6.3257164333333336,3,3.3333333333333335,False,False,True,False,False
uu4,LiVO3,-8.688246138944246,0.2,1.0,2.586,3.44,2.135,1.0659380845058497,1.072,1.26,0.2405327420539665,21.176139999999997,3,10.0,False,False,False,True,False
tws,Li6Zr2O7,-9.2839966563652,0.4,6.0,2.1746666666666665,3.44,2.3725,1.1887745324025447,1.0626666666666666,1.26,0.18502132009281766,22.405986666666664,3,10.266666666666667,False,False,False,True,False
l9v,Li3AlF6,-6.301029995663981,0.3,3.0,2.843,3.98,2.8425000000000002,1.4031824542802693,1.0515,1.19,0.18047229704306414,16.17949578,3,7.6,True,False,False,False,False
t0h,Li2ZrO3,-9.214670164989233,0.3333333333333333,2.0,2.268333333333333,3.44,2.3433333333333333,1.1774607801913781,1.0733333333333335,1.26,0.187142251301576,25.517366666666664,3,11.666666666666666,False,False,False,True,False
4kt,Li2CrCl4,-10.0,0.2857142857142857,2.0,2.322857142857143,3.16,1.9533333333333334,0.9891657998494676,1.3457142857142856,1.67,0.3746563050834397,29.67001428571429,3,14.0,True,False,False,False,False
xas,Li2SnS3,-4.823908740944319,0.3333333333333333,2.0,1.9433333333333334,2.58,1.2733333333333334,0.7155805723715224,1.2883333333333333,1.7,0.41232740496950826,38.131166666666665,3,17.333333333333332,False,False,False,False,True
kfp,Li2BaP2O7,-16.796203144042632,0.16666666666666666,2.0,2.6091666666666664,3.44,1.9939999999999998,1.0585875678888774,1.1058333333333332,1.26,0.2816161197248639,27.096027000000003,4,12.333333333333334,False,False,False,True,False
qy4,Li3Na5(TiS4)2,-5.055517327849832,0.16666666666666666,3.0,1.7394444444444446,2.58,1.5130000000000001,0.7723734863841041,1.3105555555555555,1.7,0.3705884543117012,27.11254702222222,4,13.11111111111111,False,False,False,False,True
00x,LiGd(PO3)4,-10.0,0.05555555555555555,1.0,2.901111111111111,3.44,1.6166666666666667,0.8196197552584226,1.078611111111111,1.26,0.2809893511008892,26.67104711111111,4,12.38888888888889,False,False,False,True,False
9wf,Li3ErI6,-3.1870866433571443,0.3,3.0,2.0140000000000002,2.66,1.6150000000000002,0.7943827792695408,1.609,2.06,0.5535060975273894,94.95088200000001,3,39.5,True,False,False,False,False
dmq,Li3AlS3,-7.882728704344236,0.42857142857142855,3.0,1.7557142857142856,2.58,1.4425000000000001,0.7430411859928309,1.2107142857142856,1.7,0.43008660731987264,20.571362657142856,3,10.0,False,False,False,False,True
uox,Li3.7Zn0.7Ga0.3(PO4)2,-11.24795155218056,0.25170068027210885,3.7,2.532244897959184,3.44,1.9916417910447761,1.0292267448466799,1.0485714285714287,1.26,0.2565497056698564,19.20596081632653,5,9.210884353741497,False,False,False,True,False
joc,Li3PS4,-6.585026652029182,0.375,3.0,1.93125,2.58,1.2975,0.7470849600279743,1.26,1.7,0.4507771067833858,22.50709525,3,11.0,False,False,False,False,True
mq1,Li3SbS4,-8.318758762624412,0.375,3.0,1.91375,2.58,1.3325,0.7424442319124044,1.3,1.7,0.39999999999999997,33.855374999999995,3,15.5,False,False,False,False,True
h6c,Li3VO4,-13.036212172654444,0.375,3.0,2.29125,3.44,2.2975,1.1658627438510931,1.0525,1.26,0.21815991840849225,16.9702625,3,8.0,False,False,False,True,False
bsa,LiGaO2,-13.619788758288394,0.25,1.0,2.4175,3.44,2.045,1.0637757047423106,1.045,1.26,0.2206241147291021,27.1657,3,12.5,False,False,False,True,False
mde,LiB6O9F,-10.0,0.058823529411764705,1.0,2.832941176470588,3.98,2.0914285714285716,0.8344900852749212,0.934705882352941,1.26,0.39635274911384666,13.811764894117646,4,6.705882352941177,False,True,False,False,False
1e9,Li3SbS3,-9.0,0.42857142857142855,3.0,1.8185714285714287,2.58,1.3325,0.746657859520459,1.2428571428571427,1.7,0.3958973274443148,34.11114285714286,3,15.428571428571429,False,False,False,False,True
an2,Li6SiO4Cl2,-10.0,0.46153846153846156,6.0,2.143076923076923,3.44,2.3285714285714283,1.1425974768407465,1.1015384615384616,1.67,0.3169286780685025,15.741161538461538,4,7.538461538461538,False,True,False,False,False
tka,LiSi2N3,-7.209714835966758,0.16666666666666666,1.0,2.316666666666667,3.04,1.446666666666667,0.7856561306039402,0.9899999999999999,1.32,0.35114099732158877,17.52201666666667,3,8.666666666666666,False,False,True,False,False
cdk,Li2(PO2N),-10.0,0.3333333333333333,2.0,2.345,3.44,2.0566666666666666,1.0513126715365573,1.0366666666666668,1.32,0.26643740144523426,15.143543666666666,4,7.333333333333333,False,False,False,True,False
fwz,Li2SiS3,-5.698970004336019,0.3333333333333333,2.0,1.9333333333333333,2.58,1.2933333333333334,0.7156970184527963,1.24,1.7,0.4753945729601885,23.027083333333334,3,11.333333333333334,False,False,False,False,True
cy2,La0.64Li0.08TiO3,-3.474955192963155,0.01694915254237288,0.08,2.678474576271187,3.44,2.089767441860465,0.8227241335952167,1.13285593220339,1.26,0.22300154147449294,39.26270779661017,4,17.52542372881356,False,False,False,True,False
5tl,La0.62Li0.14TiO3,-3.354577730650908,0.029411764705882356,0.14,2.6636974789915966,3.44,2.0995454545454546,0.8227241335952167,1.1297563025210084,1.26,0.22300154147449294,38.43662424369748,4,17.176470588235293,False,False,False,True,False
u2y,La0.595Li0.215TiO3,-3.0690509688324767,0.044698544698544694,0.215,2.6455717255717257,3.44,2.111160220994475,0.8227241335952167,1.125954261954262,1.26,0.22300154147449294,37.42334088357588,4,16.748440748440746,False,False,False,True,False
5z0,Li5AlO4,-9.30102999566398,0.5,5.0,2.027,3.44,2.3549999999999995,1.167955906701961,1.0215,1.26,0.20528090510322677,12.56841386,3,6.0,False,False,False,True,False
472,Li14Nd5(Si11N19O5)O2F2,-9.769551078621726,0.2413793103448276,14.0,2.2434482758620686,3.98,2.636,0.9986414076723021,1.0419827586206898,1.32,0.2916072282451239,26.61111045517241,6,12.120689655172415,False,True,False,False,False
9zk,Li5GaO4,-8.301029995663981,0.5,5.0,2.0469999999999997,3.44,2.3216666666666663,1.1623428926095776,1.03,1.26,0.19209372712298547,16.84256,3,7.8,False,False,False,True,False
dnt,Li2CrTi(PO4)3,-6.355561410532162,0.10526315789473684,2.0,2.7900000000000005,3.44,1.7642857142857142,0.9044218857195027,1.0707894736842105,1.26,0.2649541328622289,20.982062421052632,5,10.157894736842104,False,False,False,True,False
c6h,Li2FeTi(PO4)3,-6.476253533188435,0.10526315789473684,2.0,2.7989473684210524,3.44,1.74,0.8939792458255164,1.0697368421052633,1.26,0.2655107971053181,21.184636105263156,5,10.263157894736842,False,False,False,True,False
